# beta                          OCT2                          OCT2err                            OT2                          OT2err
5.000000000000000278e-02  3.120060054869626848e-05  2.215971310610436472e-07  9.748790216119234070e-04  8.644563605128056352e-06
1.000000000000000056e-01  3.300249725651538288e-05  2.089079318159702587e-07  1.920155874318856459e-03  1.211426220540189449e-05
1.499999999999999944e-01  2.968618478737962809e-04  1.328190305113275547e-06  3.538547361895984927e-02  1.475362618442692267e-04
2.000000000000000111e-01  3.006428021947898151e-04  2.088213509153253201e-06  5.074894490901284139e-02  1.790806115386299837e-04
2.500000000000000000e-01  1.527429696844937888e-04  1.114545122528794064e-06  7.963986457025415411e-02  1.870221629824311935e-04
2.999999999999999889e-01  1.161947444444420510e-04  8.378579696271562743e-07  9.888094868715802122e-02  1.864325922030273051e-04
3.499999999999999778e-01  9.508294855967126206e-05  6.664246881999268475e-07  1.106138853399737387e-01  1.190561515500106931e-04
4.000000000000000222e-01  8.731934993141230610e-05  6.233968245655731671e-07  1.217495495779782055e-01  1.816131707571188778e-04
4.500000000000000111e-01  8.021218902606376024e-05  5.733412036520626326e-07  1.267173070653439260e-01  1.168190352580547164e-04
5.000000000000000000e-01  7.599534650205777965e-05  5.357257707328327907e-07  1.313738401464978889e-01  1.772861526933832159e-04
5.500000000000000444e-01  7.237425473250999662e-05  5.111274314052657160e-07  1.352825338005936573e-01  1.756690409365845138e-04
5.999999999999999778e-01  7.119062524005454211e-05  4.968315105566843541e-07  1.362818950779277061e-01  1.148745041128474656e-04
6.500000000000000222e-01  7.049723923182450822e-05  5.022760889040534240e-07  1.373313441635802268e-01  1.144699368838635034e-04
6.999999999999999556e-01  7.190692208504843809e-05  5.093252209590786180e-07  1.380390116436309156e-01  1.163251727113218288e-04
7.500000000000000000e-01  7.179587681755810738e-05  5.070110962755536784e-07  1.406864109343526903e-01  1.780627136000600009e-04
8.000000000000000444e-01  6.951127517146779805e-05  4.947731569145455391e-07  1.407809209240413750e-01  1.753083283862434325e-04
8.499999999999999778e-01  6.877861220850494447e-05  4.900592117659997723e-07  1.397329206600158580e-01  1.746810007773077599e-04
9.000000000000000222e-01  6.914034019204393338e-05  4.905677866435394694e-07  1.397380518664778914e-01  1.149964486139424299e-04
9.499999999999999556e-01  6.858638299039732772e-05  4.864362390461204898e-07  1.397990869100736999e-01  1.144870496529977000e-04
1.000000000000000000e+00  6.950309163237284747e-05  4.848200241840257468e-07  1.390597583593558562e-01  1.151343542626157018e-04
