# beta                         OCT                            OCTerr                              OT                             OTerr
5.000000000000000278e-02  -3.407407407407389365e-05  2.792822922518193774e-05  9.460488307221076457e-05  1.561145470102019489e-04
1.000000000000000056e-01  -1.076275925925919072e-03  2.821530054234212882e-05  -7.569121132335610838e-04  2.190652276361824231e-04
1.499999999999999944e-01  2.346831481481484634e-03  8.534550806447338989e-05  -8.790699328831575593e-03  9.395237786276344240e-04
2.000000000000000111e-01  1.561692592592590825e-03  8.634290915313070323e-05  2.001064133476914142e-01  5.173579091435567432e-04
2.500000000000000000e-01  -2.842499999999985880e-04  6.177826713780377066e-05  2.734185216297957410e-01  3.493628700946582494e-04
2.999999999999999889e-01  -1.582055555555548685e-04  5.389102788188248147e-05  3.084375943738586479e-01  3.060718487555278734e-04
3.499999999999999778e-01  9.411666666666518224e-05  4.875297186139702644e-05  -3.305876422320686570e-01  1.820505522798231178e-04
4.000000000000000222e-01  7.490740740741054829e-06  4.672239661559953182e-05  3.448865124995435516e-01  2.647094196416327656e-04
4.500000000000000111e-01  1.885555555555609933e-05  4.478052966806233458e-05  -3.544207604180738547e-01  1.660746556535785989e-04
5.000000000000000000e-01  2.712777777777783243e-04  4.356654532704587885e-05  3.590531032430401281e-01  2.477251096498226594e-04
5.500000000000000444e-01  1.693518518518455918e-05  4.253644552969040486e-05  3.646065928287789970e-01  2.421036072832589135e-04
5.999999999999999778e-01  1.156000000000000858e-04  4.218330886738692030e-05  -3.678283324740422300e-01  1.568608385873581767e-04
6.500000000000000222e-01  4.479629629629624398e-05  4.198071953994555143e-05  -3.692732079780211563e-01  1.556150726312668117e-04
6.999999999999999556e-01  -6.250000000000149208e-05  4.239782300869008924e-05  -3.701911999999668579e-01  1.579150947673678440e-04
7.500000000000000000e-01  -1.683592592592620405e-04  4.235785994870957367e-05  3.719810268995635827e-01  2.406515406713031493e-04
8.000000000000000444e-01  -1.217592592592593086e-04  4.168226536977460137e-05  3.722123400551201611e-01  2.365848069262356794e-04
8.499999999999999778e-01  2.481277777777769755e-04  4.144787232609172331e-05  3.708091100282356889e-01  2.363008982253168497e-04
9.000000000000000222e-01  1.203888888888895911e-04  4.157097746850440195e-05  -3.725273390452318867e-01  1.550349581833676581e-04
9.499999999999999556e-01  6.092962962963012307e-05  4.140732742239908095e-05  -3.726229810051820968e-01  1.542077281530815412e-04
1.000000000000000000e+00  -2.643888888888913701e-04  4.166329024087180006e-05  -3.716049819917389141e-01  1.556836309856697131e-04
