# beta                             SPA                         SPAerr                         TPA                          TPAerr
5.000000000000000278e-02  3.333397681481500285e+00  1.509102975732012453e-04  3.333350237037036479e+00  1.731891609765352682e-04
1.000000000000000056e-01  1.695624607407414608e+00  7.259972849711357273e-05  1.695690362962940734e+00  8.456482322537333947e-05
1.499999999999999944e-01  1.263334411111115108e+00  4.038456424330265289e-05  1.263308644444450568e+00  4.882896479585679993e-05
2.000000000000000111e-01  1.122487574074077621e+00  2.536757920368512521e-05  1.122529762962966693e+00  3.251570598779485914e-05
2.500000000000000000e-01  1.065023585185181032e+00  1.758146871901985854e-05  1.065034985185189687e+00  2.298445599166542235e-05
2.999999999999999889e-01  1.037367359259277588e+00  1.285954354748984251e-05  1.037353614814828129e+00  1.724004431543558588e-05
3.499999999999999778e-01  1.022536811111091293e+00  9.692239036849794139e-06  1.022513407407411368e+00  1.315956759940565007e-05
4.000000000000000222e-01  1.014052677777783185e+00  7.511613590980430221e-06  1.014019022222249822e+00  1.035094234301265069e-05
4.500000000000000111e-01  1.008972025925897409e+00  5.909118023180287301e-06  1.008956066666719886e+00  8.256182475689400005e-06
5.000000000000000000e-01  1.005809111111093612e+00  4.726739918271051555e-06  1.005796029629552724e+00  6.613468130589997927e-06
5.500000000000000444e-01  1.003800340740720776e+00  3.817087581939377329e-06  1.003808459259222907e+00  5.331255620491809824e-06
5.999999999999999778e-01  1.002503351851739666e+00  3.064805766052925821e-06  1.002515748148192998e+00  4.340364494286511580e-06
6.500000000000000222e-01  1.001665437037059903e+00  2.499901716859775568e-06  1.001660044444556474e+00  3.512551727632039000e-06
6.999999999999999556e-01  1.001106996296364349e+00  2.035011975541865532e-06  1.001110977778116196e+00  2.880011546517512264e-06
7.500000000000000000e-01  1.000741611111232388e+00  1.661435811469814955e-06  1.000736207407900480e+00  2.340742210160639697e-06
8.000000000000000444e-01  1.000491988889111283e+00  1.355606369260420185e-06  1.000494548148675111e+00  1.931212978870001618e-06
8.499999999999999778e-01  1.000328811111313332e+00  1.107915136037911787e-06  1.000329644444916566e+00  1.573909425666313037e-06
9.000000000000000222e-01  1.000220262963077644e+00  9.104948447966250020e-07  1.000219918518900020e+00  1.272062999276846786e-06
9.499999999999999556e-01  1.000147496296338590e+00  7.398579706993452392e-07  1.000150111111398399e+00  1.051119542672457694e-06
1.000000000000000000e+00  1.000099051851842891e+00  6.050169644088709023e-07  1.000099414815019738e+00  8.579714719590468489e-07
