# beta                      cubeOT                      cubeOTerr                     cubeOT2                          cubeOT2err
5.000000000000000278e-02  -8.245555555555590579e-04  4.744254152525433955e-04  9.003858877366125932e-03  6.398524663585537970e-05
1.000000000000000056e-01  -3.006721111111130759e-02  8.233593478601247814e-04  2.802086181234613588e-02  1.270953475448586981e-04
1.499999999999999944e-01  2.246794592592596951e-01  2.589848743679973135e-03  3.187735200186627704e-01  9.092961607121992753e-04
2.000000000000000111e-01  6.746937000000040596e-01  3.753323579896371189e-03  1.018709104635939999e+00  1.415035358729664714e-03
2.500000000000000000e-01  1.335769733333334930e+00  4.773832377313812453e-04  1.793396570716084160e+00  1.237277775642246997e-03
2.999999999999999889e-01  1.543871570370365376e+00  3.926521331761565251e-04  2.389706453705370048e+00  1.202131603671783948e-03
3.499999999999999778e-01  1.677204766666664515e+00  3.712631584041304017e-04  2.818529282640908740e+00  1.237802628220512806e-03
4.000000000000000222e-01  1.765885322222209730e+00  3.516443480600355150e-04  3.123297121140740096e+00  1.236013217657586398e-03
4.500000000000000111e-01  1.826495892592583381e+00  3.370982500803465444e-04  3.340632654865866247e+00  1.226896642665966340e-03
5.000000000000000000e-01  1.862987525925929200e+00  3.328172368115005935e-04  3.475153214280367830e+00  1.235914075697751953e-03
5.500000000000000444e-01  1.891003218518530593e+00  3.264150248011033753e-04  3.580155043184077179e+00  1.230576045641675054e-03
5.999999999999999778e-01  1.909147203703702500e+00  3.242867801805997762e-04  3.649049522041662108e+00  1.234502227034091565e-03
6.500000000000000222e-01  1.918654300000005364e+00  3.205653905703666619e-04  3.685344809693771317e+00  1.226500743712136306e-03
6.999999999999999556e-01  1.926547988888900775e+00  3.197163926713388039e-04  3.715675896361578801e+00  1.228635261209258707e-03
7.500000000000000000e-01  1.932525137037030882e+00  3.197045412447210530e-04  3.738741845027695021e+00  1.232191044037625645e-03
8.000000000000000444e-01  1.935330229629630416e+00  3.187774051771043930e-04  3.749567859080335630e+00  1.230154434957146051e-03
8.499999999999999778e-01  1.938030966666679955e+00  3.196812081508637235e-04  3.760051870752777248e+00  1.235453408992124961e-03
9.000000000000000222e-01  1.938524544444439890e+00  3.170245895096404361e-04  3.761897593027673015e+00  1.225348491684792292e-03
9.499999999999999556e-01  1.941009351851840092e+00  3.184193760458372256e-04  3.771572939937956281e+00  1.232587568821144749e-03
1.000000000000000000e+00  1.940411092592600584e+00  3.158459248636043032e-04  3.769185554186527565e+00  1.222691115151111445e-03
